"page","file","placement","purpose","source","generated","prompt","dimensions","format","alt","rights_notes"
"/uplotnenie-grunta/","/assets/katet/services/seo-2026-08-11/uplotnenie-grunta.webp","hero","service context and catalog thumbnail","OpenAI built-in imagegen","yes","желтый грунтовый каток на площадке в желто-фиолетовой каталожной стилистике","1536x1024","webp","Уплотнение грунта","original project asset; no third-party image"
"/uplotnenie-grunta/","/assets/katet/services/seo-2026-08-11/uplotnenie-grunta-process.svg","process_diagram","explain work stages","programmatic SVG","yes","пять этапов уплотнения грунта","1200x420","svg","Этапы услуги уплотнение грунта","original project asset; no third-party image"
"/korchevanie-pnej/","/assets/katet/services/seo-2026-08-11/korchevanie-pnej.webp","hero","service context and catalog thumbnail","OpenAI built-in imagegen","yes","экскаватор извлекает пень с корнями в светлой каталожной стилистике","1536x1024","webp","Корчевание пней","original project asset; no third-party image"
"/korchevanie-pnej/","/assets/katet/services/seo-2026-08-11/korchevanie-pnej-process.svg","process_diagram","explain work stages","programmatic SVG","yes","пять этапов корчевания","1200x420","svg","Этапы услуги корчевание пней","original project asset; no third-party image"
"/obratnaya-zasypka-grunta/","/assets/katet/services/seo-2026-08-11/obratnaya-zasypka-grunta.webp","hero","service context and catalog thumbnail","OpenAI built-in imagegen","yes","экскаватор засыпает траншею рядом с самосвалом","1536x1024","webp","Обратная засыпка грунта","original project asset; no third-party image"
"/obratnaya-zasypka-grunta/","/assets/katet/services/seo-2026-08-11/obratnaya-zasypka-grunta-process.svg","process_diagram","explain work stages","programmatic SVG","yes","пять этапов обратной засыпки","1200x420","svg","Этапы услуги обратная засыпка грунта","original project asset; no third-party image"
"/demontazh-asfalta/","/assets/katet/services/seo-2026-08-11/demontazh-asfalta.webp","hero","service context and catalog thumbnail","OpenAI built-in imagegen","yes","экскаватор с гидромолотом разрушает асфальт","1536x1024","webp","Демонтаж асфальта","original project asset; no third-party image"
"/demontazh-asfalta/","/assets/katet/services/seo-2026-08-11/demontazh-asfalta-process.svg","process_diagram","explain work stages","programmatic SVG","yes","пять этапов демонтажа асфальта","1200x420","svg","Этапы услуги демонтаж асфальта","original project asset; no third-party image"
"/ukladka-dorozhnyh-plit/","/assets/katet/services/seo-2026-08-11/ukladka-dorozhnyh-plit.webp","hero","service context and catalog thumbnail","OpenAI built-in imagegen","yes","автокран укладывает железобетонную дорожную плиту","1536x1024","webp","Укладка дорожных плит","original project asset; no third-party image"
"/ukladka-dorozhnyh-plit/","/assets/katet/services/seo-2026-08-11/ukladka-dorozhnyh-plit-process.svg","process_diagram","explain work stages","programmatic SVG","yes","пять этапов укладки дорожных плит","1200x420","svg","Этапы услуги укладка дорожных плит","original project asset; no third-party image"
"/demontazh-metallokonstrukcij/","/assets/katet/services/seo-2026-08-11/demontazh-metallokonstrukcij.webp","hero","service context and catalog thumbnail","OpenAI built-in imagegen","yes","экскаватор с демонтажными ножницами разбирает стальной каркас","1536x1024","webp","Демонтаж металлоконструкций","original project asset; no third-party image"
"/demontazh-metallokonstrukcij/","/assets/katet/services/seo-2026-08-11/demontazh-metallokonstrukcij-process.svg","process_diagram","explain work stages","programmatic SVG","yes","пять этапов демонтажа металлоконструкций","1200x420","svg","Этапы услуги демонтаж металлоконструкций","original project asset; no third-party image"
