"source_url","anchor","target_url","reason"
"/tipy-rabot/","Уплотнение грунта","/uplotnenie-grunta/","directory_card; implemented"
"sitewide_header_and_footer","Уплотнение грунта","/uplotnenie-grunta/","navigation; implemented"
"/obratnaya-zasypka-grunta/","Уплотнение грунта","/uplotnenie-grunta/","related_services; implemented"
"/ukladka-dorozhnyh-plit/","Уплотнение грунта","/uplotnenie-grunta/","related_services; implemented"
"/tipy-rabot/","Корчевание пней","/korchevanie-pnej/","directory_card; implemented"
"sitewide_header_and_footer","Корчевание пней","/korchevanie-pnej/","navigation; implemented"
"/raschistka-uchastka-spectehnikoy/","Расчистка участка спецтехникой","/korchevanie-pnej/","semantic_parent; existing_parent"
"/tipy-rabot/","Обратная засыпка грунта","/obratnaya-zasypka-grunta/","directory_card; implemented"
"sitewide_header_and_footer","Обратная засыпка грунта","/obratnaya-zasypka-grunta/","navigation; implemented"
"/uplotnenie-grunta/","Обратная засыпка грунта","/obratnaya-zasypka-grunta/","related_services; implemented"
"/tipy-rabot/","Демонтаж асфальта","/demontazh-asfalta/","directory_card; implemented"
"sitewide_header_and_footer","Демонтаж асфальта","/demontazh-asfalta/","navigation; implemented"
"/demontazh-metallokonstrukcij/","Демонтаж асфальта","/demontazh-asfalta/","related_services; implemented"
"/tipy-rabot/","Укладка дорожных плит","/ukladka-dorozhnyh-plit/","directory_card; implemented"
"sitewide_header_and_footer","Укладка дорожных плит","/ukladka-dorozhnyh-plit/","navigation; implemented"
"/uplotnenie-grunta/","Укладка дорожных плит","/ukladka-dorozhnyh-plit/","related_services; implemented"
"/tipy-rabot/","Демонтаж металлоконструкций","/demontazh-metallokonstrukcij/","directory_card; implemented"
"sitewide_header_and_footer","Демонтаж металлоконструкций","/demontazh-metallokonstrukcij/","navigation; implemented"
"/demontazh-asfalta/","Демонтаж металлоконструкций","/demontazh-metallokonstrukcij/","related_services; implemented"
